Round,Date,Team 1,Team 2,FT,HT
33,2010-05-01,VfB Stuttgart,1. FSV Mainz 05,2-2,0-0
33,2010-05-01,Hamburger SV,1. FC Nürnberg,4-0,3-0
34,2010-05-08,Hertha BSC,Bayern München,1-3,0-1
34,2010-05-08,1899 Hoffenheim,VfB Stuttgart,1-1,1-1
34,2010-05-08,Werder Bremen,Hamburger SV,1-1,0-0
34,2010-05-08,SC Freiburg,Borussia Dortmund,3-1,0-0
34,2010-05-08,1. FSV Mainz 05,FC Schalke 04,0-0,0-0
34,2010-05-08,Bor. Mönchengladbach,Bayer Leverkusen,1-1,0-1
34,2010-05-08,VfL Bochum,Hannover 96,0-3,0-3
34,2010-05-08,1. FC Nürnberg,1. FC Köln,1-0,0-0
34,2010-05-08,VfL Wolfsburg,Eintracht Frankfurt,3-1,3-0
