Round,Date,Time,Team 1,Team 2,FT,HT
10,1969-10-25,15:30,Alemannia Aachen,Bayern München,1-3,0-2
11,1969-10-30,20:00,Bayern München,Hertha BSC,1-2,1-0
11,1969-10-31,20:00,Borussia Dortmund,Werder Bremen,2-1,1-1
11,1969-10-31,20:00,FC Schalke 04,VfB Stuttgart,1-2,0-2
11,1969-10-31,20:00,Bor. Mönchengladbach,Alemannia Aachen,5-1,1-1
11,1969-11-01,15:30,Eintracht Frankfurt,TSV 1860 München,4-3,0-0
11,1969-11-01,15:30,Hamburger SV,Hannover 96,2-0,0-0
11,1969-11-01,15:30,Eintracht Braunschweig,Rot-Weiss Essen,0-0,0-0
11,1969-11-01,15:30,1. FC Kaiserslautern,MSV Duisburg,0-2,0-1
11,1969-11-02,15:30,Rot-Weiss Oberhausen,1. FC Köln,0-2,0-0
12,1969-11-07,20:00,TSV 1860 München,1. FC Kaiserslautern,0-1,0-1
12,1969-11-07,20:00,MSV Duisburg,Borussia Dortmund,0-1,0-0
12,1969-11-08,15:30,Hannover 96,Rot-Weiss Oberhausen,2-1,2-0
12,1969-11-08,15:30,Werder Bremen,Eintracht Braunschweig,0-1,0-0
12,1969-11-08,15:30,Rot-Weiss Essen,Hamburger SV,2-2,2-0
12,1969-11-08,15:30,1. FC Köln,FC Schalke 04,8-0,3-0
12,1969-11-08,15:30,Alemannia Aachen,Eintracht Frankfurt,2-1,0-0
12,1969-11-08,15:30,Hertha BSC,Bor. Mönchengladbach,1-1,0-0
12,1969-11-08,15:30,VfB Stuttgart,Bayern München,2-3,0-2
13,1969-11-15,15:30,Eintracht Braunschweig,MSV Duisburg,2-1,0-0
13,1969-11-15,15:30,Rot-Weiss Oberhausen,Hamburger SV,1-3,1-2
13,1969-11-15,15:30,Werder Bremen,Rot-Weiss Essen,2-1,1-0
13,1969-11-15,15:30,FC Schalke 04,Hannover 96,2-0,1-0
13,1969-11-15,15:30,1. FC Kaiserslautern,Alemannia Aachen,3-1,2-0
13,1969-11-15,15:30,Bor. Mönchengladbach,VfB Stuttgart,3-0,2-0
